Sample File Name	Size	Height	Area	
MAR_29_E04_2015-10-07.fsa	651.68	573	5838	
MAR_29_E04_2015-10-07.fsa	655.05	2095	19774	
MAR_29_E04_2015-10-07.fsa	658.8	3867	47994	
MAR_29_E04_2015-10-07.fsa	659.93	1712	20575	
MAR_29_E04_2015-10-07.fsa	665.84	1888	30409	
MAR_29_E04_2015-10-07.fsa	670.16	264	1802	
MAR_29_E04_2015-10-07.fsa	671.85	925	10122	
MAR_29_E04_2015-10-07.fsa	674.02	1332	15649	
MAR_29_E04_2015-10-07.fsa	676.94	85	554	
MAR_29_E04_2015-10-07.fsa	678.35	55	295	
MAR_29_E04_2015-10-07.fsa	679.58	80	516	
MAR_29_E04_2015-10-07.fsa	685.62	1609	23339	
MAR_29_E04_2015-10-07.fsa	686.84	3872	41468	
MAR_29_E04_2015-10-07.fsa	688.92	425	2402	
MAR_29_E04_2015-10-07.fsa	692.52	3928	47077	
MAR_29_E04_2015-10-07.fsa	698.48	684	6204	
MAR_29_E04_2015-10-07.fsa	702.7	2081	32849	
MAR_29_E04_2015-10-07.fsa	707.65	6347	128991	
MAR_29_E04_2015-10-07.fsa	716.45	1726	26517	
MAR_29_E04_2015-10-07.fsa	719.45	362	5272	
MAR_29_E04_2015-10-07.fsa	723.21	108	905	
MAR_29_E04_2015-10-07.fsa	724.91	57	402	
MAR_29_E04_2015-10-07.fsa	726.41	689	7392	
MAR_29_E04_2015-10-07.fsa	728.68	280	2026	
MAR_29_E04_2015-10-07.fsa	735.0	135	1657	
MAR_29_E04_2015-10-07.fsa	736.8	527	7396	
MAR_29_E04_2015-10-07.fsa	740.02	295	5140	
MAR_29_E04_2015-10-07.fsa	744.1	636	6895	
MAR_29_E04_2015-10-07.fsa	748.57	490	5409	
MAR_29_E04_2015-10-07.fsa	750.97	35	294	
MAR_29_E04_2015-10-07.fsa	753.87	58	571	
MAR_29_E04_2015-10-07.fsa	755.82	247	2667	
MAR_29_E04_2015-10-07.fsa	757.76	94	875	
MAR_29_E04_2015-10-07.fsa	764.58	258	5210	
MAR_29_E04_2015-10-07.fsa	772.62	941	14640	
MAR_29_E04_2015-10-07.fsa	778.53	442	6047	
MAR_29_E04_2015-10-07.fsa	781.19	276	4121	
MAR_29_E04_2015-10-07.fsa	782.58	222	2973	
MAR_29_E04_2015-10-07.fsa	788.63	291	6197	
MAR_29_E04_2015-10-07.fsa	792.81	542	6617	
MAR_29_E04_2015-10-07.fsa	794.8	350	5746	
MAR_29_E04_2015-10-07.fsa	799.7	284	3241	
MAR_29_E04_2015-10-07.fsa	803.59	323	4203	
MAR_29_E04_2015-10-07.fsa	807.18	670	6391	
MAR_29_E04_2015-10-07.fsa	809.18	474	4707	
MAR_29_E04_2015-10-07.fsa	811.29	3137	46061	
MAR_29_E04_2015-10-07.fsa	814.59	31	104	
MAR_29_E04_2015-10-07.fsa	816.4	917	9780	
MAR_29_E04_2015-10-07.fsa	817.71	1554	23215	
MAR_29_E04_2015-10-07.fsa	822.95	875	11293	
MAR_29_E04_2015-10-07.fsa	827.6	171	2966	
MAR_29_E04_2015-10-07.fsa	830.63	247	3219	
MAR_29_E04_2015-10-07.fsa	833.78	189	2419	
MAR_29_E04_2015-10-07.fsa	839.07	119	1105	
MAR_29_E04_2015-10-07.fsa	841.51	31	221	
MAR_29_E04_2015-10-07.fsa	842.33	37	343	
MAR_29_E04_2015-10-07.fsa	847.95	637	5532	
MAR_29_E04_2015-10-07.fsa	850.31	1394	20205	
MAR_29_E04_2015-10-07.fsa	853.27	520	7158	
MAR_29_E04_2015-10-07.fsa	856.15	143	1465	
MAR_29_E04_2015-10-07.fsa	860.67	41	322	
MAR_29_E04_2015-10-07.fsa	865.42	173	3259	
MAR_29_E04_2015-10-07.fsa	869.26	59	528	
MAR_29_E04_2015-10-07.fsa	873.74	1761	32585	
MAR_29_E04_2015-10-07.fsa	876.66	519	5356	
MAR_29_E04_2015-10-07.fsa	883.37	255	3089	
MAR_29_E04_2015-10-07.fsa	886.42	246	2865	
MAR_29_E04_2015-10-07.fsa	894.68	110	2545	
MAR_29_E04_2015-10-07.fsa	901.19	34	476	
MAR_29_E04_2015-10-07.fsa	903.67	183	2460	
MAR_29_E04_2015-10-07.fsa	908.65	35	389	
MAR_29_E04_2015-10-07.fsa	910.61	39	543	
MAR_29_E04_2015-10-07.fsa	913.22	33	285	
MAR_29_E04_2015-10-07.fsa	914.64	63	747	
MAR_29_E04_2015-10-07.fsa	919.34	76	1412	
MAR_29_E04_2015-10-07.fsa	925.27	113	1652	
MAR_29_E04_2015-10-07.fsa	928.14	121	2035	
MAR_29_E04_2015-10-07.fsa	938.24	100	1466	
MAR_29_E04_2015-10-07.fsa	942.93	69	802	
MAR_29_E04_2015-10-07.fsa	944.5	88	1348	
MAR_29_E04_2015-10-07.fsa	946.29	54	583	
MAR_29_E04_2015-10-07.fsa	952.69	37	199	
MAR_29_E04_2015-10-07.fsa	954.61	164	2320	
MAR_29_E04_2015-10-07.fsa	956.63	300	4046	
MAR_29_E04_2015-10-07.fsa	961.03	84	1087	
MAR_29_E04_2015-10-07.fsa	966.02	745	12513	
MAR_29_E04_2015-10-07.fsa	971.47	80	914	
MAR_29_E04_2015-10-07.fsa	974.78	70	694	
MAR_29_E04_2015-10-07.fsa	977.41	95	2328	
MAR_29_E04_2015-10-07.fsa	985.2	61	1064	
MAR_29_E04_2015-10-07.fsa	998.61	40	360	
MAR_29_E04_2015-10-07.fsa	1001.94	64	723	
MAR_29_E04_2015-10-07.fsa	1003.88	59	704	
MAR_29_E04_2015-10-07.fsa	1006.51	30	272	
MAR_29_E04_2015-10-07.fsa	1022.37	101	2614	
MAR_29_E04_2015-10-07.fsa	1027.97	241	3176	
MAR_29_E04_2015-10-07.fsa	1031.16	165	2438	
MAR_29_E04_2015-10-07.fsa	1038.24	608	10508	
MAR_29_E04_2015-10-07.fsa	1051.14	70	1145	
MAR_29_E04_2015-10-07.fsa	1057.99	98	1824	
MAR_29_E04_2015-10-07.fsa	1059.7	78	1106	
MAR_29_E04_2015-10-07.fsa	1072.95	104	2221	
MAR_29_E04_2015-10-07.fsa	1084.82	83	1794	
MAR_29_E04_2015-10-07.fsa	1093.49	1105	22225	
MAR_29_E04_2015-10-07.fsa	1099.77	31	336	
MAR_29_E04_2015-10-07.fsa	1119.75	94	1157	
MAR_29_E04_2015-10-07.fsa	1123.06	133	2710	
MAR_29_E04_2015-10-07.fsa	1141.67	71	1486	
MAR_29_E04_2015-10-07.fsa	1164.73	69	1641	
MAR_29_E04_2015-10-07.fsa	1171.92	334	6226	
MAR_29_E04_2015-10-07.fsa	1183.45	32	673	
MAR_29_E04_2015-10-07.fsa	1233.33	38	753	
MAR_29_E04_2015-10-07.fsa	1248.29	105	2279	
MAR_29_E04_2015-10-07.fsa	1256.28	785	15698	
MAR_29_E04_2015-10-07.fsa	1315.98	37	768	
MAR_30_F04_2015-10-07.fsa		45	136	
MAR_30_F04_2015-10-07.fsa		325	2979	
MAR_30_F04_2015-10-07.fsa		258	2466	
MAR_30_F04_2015-10-07.fsa		556	4468	
MAR_30_F04_2015-10-07.fsa		394	2909	
MAR_30_F04_2015-10-07.fsa		200	1760	
MAR_30_F04_2015-10-07.fsa		35	146	
MAR_30_F04_2015-10-07.fsa		1146	9672	
MAR_30_F04_2015-10-07.fsa		1302	11081	
MAR_30_F04_2015-10-07.fsa		402	4140	
MAR_30_F04_2015-10-07.fsa		1339	11460	
